epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1348,3.23334,5.1246,3.07822,0.0019,0.8,0.01283,0.0049,2.46696,5.34482,2.68459,6e-05,6e-05,6e-05
2,32.8077,3.05543,7.47007,2.83155,0.0019,0.8,0.0106,0.00404,2.50966,5.21855,2.62203,0.000138614,0.000138614,0.000138614
3,45.8502,2.76699,4.48706,2.76661,0.00238,1,0.01032,0.00414,2.26615,5.54595,2.54037,0.000215644,0.000215644,0.000215644
4,59.5071,2.37907,4.12538,2.53536,0.0019,0.8,0.01126,0.00479,2.28358,5.39192,2.4714,0.00029109,0.00029109,0.00029109
5,72.9091,2.29654,4.00037,2.2634,0.00238,1,0.01423,0.00528,1.9085,4.79909,2.14248,0.000364952,0.000364952,0.000364952
6,86.0908,2.33722,4.18749,2.31037,0.00238,1,0.02745,0.0092,1.84719,4.83896,2.08826,0.00043723,0.00043723,0.00043723
7,99.0828,2.23472,3.47905,2.10294,0.00238,1,0.06792,0.0209,2.01025,4.5192,2.18367,0.000507924,0.000507924,0.000507924
8,112.409,2.08832,3.83216,2.09572,0.00238,1,0.19947,0.04547,2.14232,4.61583,2.16513,0.000577034,0.000577034,0.000577034
9,127.187,1.96414,4.16067,1.86524,0.00238,1,0.29691,0.1088,2.19673,4.60959,2.15579,0.00064456,0.00064456,0.00064456
10,141.172,1.93194,3.55274,1.91205,0.00238,1,0.40713,0.19988,2.23805,4.80013,2.19199,0.000710502,0.000710502,0.000710502
11,159.397,1.84538,3.54164,1.83164,0.0019,0.8,0.20792,0.06402,2.72894,5.12123,2.51909,0.00077486,0.00077486,0.00077486
12,176.137,1.99149,3.42939,1.92456,0.0019,0.8,0.11512,0.03118,3.02794,5.41649,2.71905,0.000837634,0.000837634,0.000837634
13,191.33,1.8814,2.85075,1.79462,0.0019,0.8,0.02147,0.00483,2.8828,5.44011,2.83788,0.000898824,0.000898824,0.000898824
